Item,Status,Evidence
"Official MCP recovered","fail","Official calls still timed out or returned locked behavior."
"Legacy bridge recovered","pass","tools/roblox_plugin_bridge.py returned edit-mode data before Studio cloud disconnect."
"V3 runtime present in target session","pass","Workspace.NucleusClassroom_V3 existed with version NucleusClassroom_V3_2 before disconnect."
"Server runtime installed","pass","ServerScriptService.NucleusClassroomV3Controller existed, enabled, source length 43384."
"Client runtime installed","pass","StarterPlayer.StarterPlayerScripts.NucleusClassroomV3Client existed, enabled, source length 11203."
"Class data and anchors installed","pass","25 waypoints, 25 target anchors, 25 class data entries."
"Teacher model installed","pass","TeacherGuide model existed with 9 children."
"Audio objects installed","pass","25 Sound objects under runtime Audio.TeacherVoiceEmitter."
"Roblox audio IDs complete","pending","1 SoundId ready, 24 SoundIds pending upload/moderation."
"Play-mode review","blocked","Roblox Studio failed with RCC-277 and could not load/start the cloud Cell V1 experience."
"Autosave recovery","blocked","AutoRecovery file was found in logs/search but the AutoSaves folder was cleared before it could be opened."
"Scene1 local file suitable for continuation","fail","/Users/carlosmarinronco/Documents/Scene1.rbxl is a sheep-herding scene, not the cell/nucleus experience."
"Wrong-place protection","pass","No nucleus classroom install was attempted into Scene1.rbxl."
