check,status,evidence
Standalone installer added,pass,"tools/install_v1_gene_expression_lesson.py compiles and does not call the water/spawn rebuild tool."
Runtime created,pass,"Workspace.V1LessonRuntime exists with V1LessonVersion=GeneExpressionLesson_V1."
Remotes created,pass,"ReplicatedStorage.V1LessonRemotes contains LessonState and LessonAction."
Server controller installed,pass,"ServerScriptService.V1GeneExpressionLessonController exists and source contains proximity gating and animation overlays."
Client teacher installed,pass,"StarterPlayer.StarterPlayerScripts.V1TeacherLessonClient exists and source contains V1TeacherLessonUI and V1TeacherGuideMarker_Client."
Stations created,pass,"Seven stations exist for welcome, dna_chromatin, transcription, mrna_export, translation, protein_handoff, and recap."
Prompts created,pass,"Seven LessonPrompt ProximityPrompts exist."
Stations non-colliding,pass,"collide_count=0."
Stations in water,pass,"bad_water_count=0; all station samples included Water."
Spawn preserved,pass,"Workspace.V1_WaterSpawn exists, enabled=true, sample Water=8."
Micro-check gating,pass,"Server source checks distance before accepting answer; client only shows answer buttons when isNear=true."
Source validation,pass,"python3 -m py_compile tools/install_v1_gene_expression_lesson.py."
Whitespace validation,pass,"git diff --check passed for the installer."
Play-mode HUD review,pending,"Needs Studio Play test because client/server lesson scripts run in Play mode."
Mobile/VR review,pending,"Needs device or emulator review for touch/gamepad/VR lesson controls."
