Component ID,Object Name,Group,Pass Criteria,Dependencies,Roblox Export Note,Reviewer Status
CXT_001,Cell_Context_RootRig,WholeCell_Context_Integration,Cell boundary is visible but does not obscure the nucleus.,,Can be a non-export guide or transparent shell for Roblox scene context.,
CXT_002,Cytoplasm_Volume,WholeCell_Context_Integration,Cytoplasm is visible from main camera but not visually dominant.,CXT_001,Use low-poly transparent material; avoid dense volumetric rendering.,
CXT_003,NucleusSocket_Center,WholeCell_Context_Integration,Nucleus rotates and scales around this socket correctly.,CXT_001,Useful as a Roblox attachment/primary part reference.,
CXT_004,Cell_Context_Organelle_Silhouettes,WholeCell_Context_Integration,Secondary organelles do not compete with the nucleus.,CXT_001;CXT_002,Optional for Roblox; can be hidden for nucleus-only export.,
ROOT_001,Nucleus_RootRig,RootRig_Pivots_LOD,Every nucleus component is under this root and rotates around the center.,CXT_003,Use as Roblox PrimaryPart or root model pivot.,
ROOT_002,Nucleus_Cutaway_Controller,RootRig_Pivots_LOD,Cutaway reveals inside but keeps the nucleus recognizable as a sphere.,CXT_003,Do not export if only used for Blender review.,
ROOT_003,Nucleus_LOD_Controller,RootRig_Pivots_LOD,Reviewer can toggle LOD levels cleanly.,CXT_003,Use Roblox CollectionService tags if rebuilt in Roblox.,
ROOT_004,Nucleus_ExplodedView_Controller,RootRig_Pivots_LOD,Exploded view separates groups without losing relationships.,CXT_003,Do not export to final gameplay unless needed for teaching mode.,
ENV_OUT_01,NE_OuterMembrane_Panel_01,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_OUT_02,NE_OuterMembrane_Panel_02,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_OUT_03,NE_OuterMembrane_Panel_03,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_OUT_04,NE_OuterMembrane_Panel_04,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_OUT_05,NE_OuterMembrane_Panel_05,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_OUT_06,NE_OuterMembrane_Panel_06,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_OUT_07,NE_OuterMembrane_Panel_07,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_OUT_08,NE_OuterMembrane_Panel_08,NuclearEnvelope_DoubleMembrane,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,
ENV_IN_01,NE_InnerMembrane_Panel_01,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_01;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
