Category,Checkpoint,Pass Criteria,Status
Hierarchy,Exact collections created,All required collections exist with exact names.,
Hierarchy,Parenting,Every nucleus object is parented to Nucleus_RootRig or a child collection under it.,
Scale,Nucleus scale,Outer radius about 3.2 BU and fits inside whole cell context.,
Scale,Cell integration,"Nucleus sits inside cytoplasm at NucleusSocket_Center, not floating separately.",
Pivots,Root pivot,Nucleus_RootRig origin is centered and rotations do not offset shell.,
Pivots,Panel pivots,Membrane panels split outward cleanly during mitosis.,
Biology,Double membrane,"Outer membrane, inner membrane, and perinuclear space are all visible.",
Biology,Nuclear pores,"NPCs read as protein ring complexes with gate cores, not simple holes.",
Biology,DNA rule,Chromatin/chromosomes never animate outside the nucleus.,
Biology,RNA/protein transport,RNA exports outward and protein cargo imports inward through NPCs.,
Biology,Nucleolus,Nucleolus is dense and bumpy but has no membrane shell.,
Biology,Lamina placement,Lamina lattice lies just under the inner membrane.,
Biology,ER continuity,Outer nuclear membrane visibly connects to rough ER segments.,
Visual,3D quality,"Model has depth, texture, bevels, shadows, and readable material separation.",
Visual,Cutaway readability,Interior can be seen from main camera without losing shell identity.,
Visual,Color coding,Materials match the color system and are consistent across parts.,
Visual,Texture,"Membranes, nucleolus, chromatin, and lamina have distinct procedural texture/bump.",
Animation,Interphase idle,Subtle drift/pulse animation exists frames 1-120.,
Animation,Protein import,Green cargo moves from cytoplasm into nucleus through NPC frames 130-210.,
Animation,RNA export,Pink RNA/ribosomal cargo moves out through NPC frames 220-300.,
Animation,Transcription,Chromatin hotspot glows and generates RNA frames 310-390.,
Animation,Mitosis breakdown,"Chromatin condenses, nucleolus fades, lamina fragments, envelope panels separate frames 400-560.",
Animation,Reassembly,"Envelope reforms, NPCs reinsert, lamina returns, nucleolus reappears frames 570-720.",
Roblox,Separated mesh parts,Functional components remain separate for scripting/animation.,
Roblox,Triangle budget,Nucleus LOD0 target under 90k triangles or clearly flagged if higher.,
Roblox,Thickness,Panels/sheets have thickness and avoid single-sided disappearing faces.,
Roblox,Material portability,"Materials can be approximated in Roblox with base color, alpha, roughness, emission.",
Review,Labels,Optional labels exist in 99_REVIEW_CHECKPOINTS and can be hidden.,
Review,Cameras,"Main, NPC close-up, and component/exploded cameras exist.",
Final,Educational pass,"A learner can identify envelope, pores, lamina, chromatin, nucleolus, transport, and ER connection.",
