check,status,evidence
Open scene preserved,pass,"The live tool did not rebuild or reimport organelles; it selected existing Workspace.CellEnvironment_Main."
Terrain water added,pass,"Terrain center sample returned Water=8."
Spawn inside water,pass,"Workspace.V1_WaterSpawn sample returned Water=8 at center, plus4, and plus8 avatar-height checks."
Conflicting spawns disabled,pass,"Workspace.CellEnvironment_Main.MainCellSwimSpawn and Workspace.SpawnLocation are disabled; enabled_spawn_count=1."
Spawn controller installed,pass,"ServerScriptService.V1WaterSpawnController exists and moves CharacterAdded avatars to Workspace.V1_WaterSpawn."
Spawn near nucleus,pass,"V1_WaterSpawn is at -18.040,240.793,70.504, about 273.310 studs from nucleus center and approximately 95 studs outside the broad nucleus surface."
Old vibration reverted,pass,"V1OrganicMotionController is disabled and V1OrganicMotionServerController is removed."
Brief 3D pulse installed,pass,"ServerScriptService.V1BriefOrganicPulseController exists, uses basePivots, Vector3 axis profiles, and has no driftRadius/clampAroundNucleus logic."
Visible pulse probe,pass,"VisibleBriefPulseV3 moved VesiclesEndosomes by 8.2106 studs during a live bridge pulse probe."
Bounded drift added,pass,"VisibleBriefPulseV4_BoundedDrift includes drift vectors, clampAroundNucleus, V1OrganicMaxNucleusDistance, and V1BoundedDriftClampedModels."
Nucleus fully covered,pass,"Nucleus bottom, center, top, and top_plus_40 samples all returned Water=8."
Water deterministic,pass,"Water center 81.064,211.358,11.337 and size 680,520,920 were computed from main object bounds plus nucleus top clearance."
Scene marked V1,pass,"Workspace SceneVersion=V1 and SceneVersionLabel=OpenScene_Water_V1."
Metadata marker created,pass,"Workspace.V1_SceneMarker exists and points to Workspace.CellEnvironment_Main."
No visible helper box,pass,"Workspace.V1_SceneWaterVolume exists as hidden marker with Transparency=1 and CanCollide=false."
Official MCP status,blocked,"Roblox_Studio/run_code returned Transport closed."
Computer Use viewport status,blocked,"RobloxStudio get_app_state timed out with Apple event error -10005."
Source validation,pass,"python3 -m py_compile tools/apply_v1_water_to_open_studio_scene.py."
Whitespace validation,pass,"git diff --check passed for tools/apply_v1_water_to_open_studio_scene.py."
Manual V1 save,pending,"Open Studio scene should be saved/published manually after viewport/play-mode confirmation."
