id,group_id,group_name,collection,object_name,object_type,material,geometry_strategy,biological_function,animation_function,integration_points,pivot_origin,dependencies,roblox_export_note,optional,pass_criteria,blender_ai_prompt
CXT_001,G00,WholeCell_Context_Integration,00_CELL_CONTEXT,Cell_Context_RootRig,Empty + light guide shell,MAT_CellMembrane_ClearBlue,"Master empty and optional transparent ellipsoid guide for animal cell boundary, scaled about X=20 Y=14 Z=9.",Defines whole-cell context so the nucleus is one organelle inside a larger animal cell.,Parent all whole-cell context assets; optional cell idle sway.,Parent of cytoplasm and nucleus socket; not a heavy exported mesh unless needed.,Origin at world center.,,Can be a non-export guide or transparent shell for Roblox scene context.,False,Cell boundary is visible but does not obscure the nucleus.,Create `Cell_Context_RootRig` as the scene-level parent. Add a transparent ellipsoid cell guide with very low opacity and a subtle rim highlight.
CXT_002,G00,WholeCell_Context_Integration,00_CELL_CONTEXT,Cytoplasm_Volume,Transparent ellipsoid mesh,MAT_Cytoplasm_BlueGlass,"Semi-transparent ovoid volume inside the cell shell, with small low-poly suspended specks and soft motion curves.",Shows cytoplasmic space where imported proteins originate and exported RNAs travel.,Subtle particle drift; path markers for import/export pass through this volume.,Wraps around the nucleus but leaves it readable.,Origin at cell center.,CXT_001,Use low-poly transparent material; avoid dense volumetric rendering.,False,Cytoplasm is visible from main camera but not visually dominant.,Create `Cytoplasm_Volume` as a transparent blue ellipsoid volume around the nucleus. Add faint particle specks and flow curves; keep opacity low.
CXT_003,G00,WholeCell_Context_Integration,00_CELL_CONTEXT,NucleusSocket_Center,Socket empty + visible ring,MAT_Label_White,Small ring or target marker at the nucleus position with XYZ axes and a labeled socket.,Defines assembly location of the nucleus inside the cell.,All nucleus objects ultimately follow this socket for placement and repositioning.,Parent `Nucleus_RootRig` to this socket or align it exactly.,"Origin at nucleus center `(0,0,0.2)`.",CXT_001,Useful as a Roblox attachment/primary part reference.,False,Nucleus rotates and scales around this socket correctly.,Create a visible but hideable `NucleusSocket_Center` at the nucleus center with small XYZ arrows and a circular socket ring.
CXT_004,G00,WholeCell_Context_Integration,00_CELL_CONTEXT,Cell_Context_Organelle_Silhouettes,Low-detail context meshes,MAT_Cytoplasm_BlueGlass,"Simple low-detail mitochondria, Golgi, lysosome, peroxisome, and cytoskeleton silhouettes around the nucleus.",Shows the nucleus as part of one cell ecosystem without overbuilding other organelles.,Optional idle drift only.,Keep outside nucleus and low opacity/detail.,Origins at each object center.,CXT_001;CXT_002,Optional for Roblox; can be hidden for nucleus-only export.,True,Secondary organelles do not compete with the nucleus.,Create optional low-detail surrounding organelles as contextual silhouettes only. Do not add more detail than the nucleus.
ROOT_001,G01,RootRig_Pivots_LOD,01_NUCLEUS_ROOT,Nucleus_RootRig,Master empty,MAT_Label_White,Empty at nucleus center with visible pivot sphere and axes.,Master parent for all nucleus assets.,"Controls placement, scale, interphase, transport, mitosis, and reassembly animation groups.",Child of NucleusSocket_Center; parent of all nucleus collections.,Origin at nucleus center.,CXT_003,Use as Roblox PrimaryPart or root model pivot.,False,Every nucleus component is under this root and rotates around the center.,"Create `Nucleus_RootRig` as an empty at `(0,0,0.2)`. Add a small white pivot sphere and red/green/blue axis arrows as hideable review geometry."
ROOT_002,G01,RootRig_Pivots_LOD,01_NUCLEUS_ROOT,Nucleus_Cutaway_Controller,Boolean guide / empty,MAT_Label_White,"Front-left cutaway wedge guide, not necessarily exported.",Controls which shell panels are removed or opened for viewing.,Can drive visibility of cutaway caps and transparent review mode.,Aligned with shell panels and review cameras.,Origin at nucleus center.,CXT_003,Do not export if only used for Blender review.,False,Cutaway reveals inside but keeps the nucleus recognizable as a sphere.,Create `Nucleus_Cutaway_Controller` as a wedge-shaped guide or empty that marks the open viewing sector. Use it to name and organize cutaway panels.
ROOT_003,G01,RootRig_Pivots_LOD,01_NUCLEUS_ROOT,Nucleus_LOD_Controller,Empty + custom properties,MAT_Label_White,"Empty with custom properties for LOD0, LOD1, LOD2 visibility.",Controls performance versions for Roblox export.,"Switches pore count, chromatin density, labels, and transparent volume details.",Linked to all LOD groups and high-detail optional parts.,Origin at nucleus center.,CXT_003,Use Roblox CollectionService tags if rebuilt in Roblox.,False,Reviewer can toggle LOD levels cleanly.,"Create `Nucleus_LOD_Controller` with custom properties `LOD0_Hero`, `LOD1_Gameplay`, `LOD2_Distant`. Add notes as custom properties."
ROOT_004,G01,RootRig_Pivots_LOD,01_NUCLEUS_ROOT,Nucleus_ExplodedView_Controller,Empty + offset targets,MAT_Label_White,Defines target offsets for exploded assembly view.,Helps AI/reviewer understand how components assemble.,Keyframes pieces outward from center for assembly demo.,"Linked to membrane panels, NPCs, lamina, nucleoplasm, genome, nucleolus.",Origin at nucleus center.,CXT_003,Do not export to final gameplay unless needed for teaching mode.,False,Exploded view separates groups without losing relationships.,Create `Nucleus_ExplodedView_Controller` with child empties for each group offset. Add keyframes or drivers for a simple exploded view demo.
ENV_OUT_01,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_01,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 1 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_01` and `NE_PerinuclearLumen_Segment_01`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_01` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
ENV_OUT_02,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_02,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 2 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_02` and `NE_PerinuclearLumen_Segment_02`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_02` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
