Item,Status,Evidence
"Different V4 experience installed","pass","Workspace.NucleusClassroom_V4"
"Uses Scientist Dr Riviera model","pass","Workspace.Scientist Dr Riviera"
"Great human-cell intro scripted","pass","Welcome to the human cell. This is an incredible adventure into how life happens. Every structure around us is part of a"
"Continue button removed","pass","True"
"Autoplay real-class flow","pass","True"
"Slow teacher movement","pass","all moveSeconds >= 10"
"Local audio files ready","pass","18 expected MP3 uploads"
"All local ElevenLabs audio generated","pass","voiceIds=['NFG5qt843uXKj4pFvR7C']"
"Consistent generated voice","pass","voiceIds=['NFG5qt843uXKj4pFvR7C']"
"Roblox SoundId playback primary","pass","ClientTTSPrimary=False"
"Runtime male voice fallback","pass","AudioTextToSpeech fallback VoiceId=3 United States male #1"
"Audio objects added","pass","18 ready, 0 pending"
"All Roblox audio IDs ready","pass","0 pending SoundIds"
"Current ElevenLabs SoundIds loaded","pass","18/18 SoundIds in manifest."
"Embedded teacher audio sanitized","pass","1 clone sounds disabled; 1 source sounds disabled"
"Guided camera soft lock","pass","Frames Dr Riviera plus target and releases to normal camera on player look input."
"Teacher waits for player","pass","follow=82 lost=145 maxWait=120"
"Teacher locator/guide beam","pass","Top locator plus local beam back to Dr Riviera."
"Text from teacher","pass","Billboard speech bubble attached to Dr Riviera."
"Teacher close pointing","pass","Target-relative waypoints, pointer beam, hand glow, and target pulse installed."
"Nucleus center light restrained","pass","brightness=0.11999999731779099, range=44"
"Nucleus yellow wash reduced","pass","adjustedParts=7"
"Play-mode verification","pending","Start Play and verify Dr Riviera moves/teaches without Continue button."
