check,status,evidence
Source builder updated,pass,"BuildMainCellExperience.lua uses terrainMode=GeneratedWater with center 0,90,0 and size 760,240,900."
Blank defaults cleaned,pass,"Studio bridge probe found baseplate_exists=false and default_spawn_exists=false."
Generated Terrain water created,pass,"Terrain count 2543336; sampled spawn material Water=100, cell center Water=80, nucleus Water=64."
Spawn near cell,pass,"SpawnLocation is at 0,90,-385.691 and faces the cell center."
Raw packages preserved,pass,"Workspace.MeshLibrary exists with 1812 raw BaseParts and 0 visible raw BaseParts."
Visible assembly exists,pass,"Workspace.CellEnvironment_Main.ImportedOrganelles exists after rebuild."
All organelle families assembled,pass,"12 families found: CytoskeletonCentrosome, Golgi, Lysosome, MembraneCytoplasm, Mitochondrion, Nucleus, Peroxisomes, Proteasomes, Ribosomes, RoughER, SmoothER, VesiclesEndosomes."
Missing packages,pass,"Studio probe reported no missing environment packages and no missing organelle packages."
Nucleus model stable,pass,"Workspace.Nucleus_Model exists after whole-cell rebuild."
Nucleus portal preserved,pass,"Workspace.Nucleus_Model has NucleusEntryPortal and collision mode PortalControlledProxy."
Old outer-cell entry helpers removed,pass,"Studio probe found old_cell_entry_exists=false and old_wall_gate_exists=false."
Native water swimming mode,pass,"Builder sets MovementMode=NativeWaterSwimming and does not reinstall custom buoyancy controller."
Source validation,pass,"python3 tools/validate_main_cell_environment.py passed."
Whitespace validation,pass,"git diff --check passed for touched source files."
Studio deployment,pass,"tools/deploy_main_cell_environment_to_studio.py --legacy-bridge --timeout 180 succeeded."
Studio visual inspection,blocked,"Computer Use timed out for RobloxStudio and screenshots captured Finder, so this pass still needs direct viewport confirmation."
Play-mode swim test,needs_manual_review,"Bridge confirms Terrain water at spawn; user should press Play in Studio to confirm the avatar swims instead of falling."
